"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.13122825550144e-11,0.616699644898042,0.295,0.269,3.66031526632601e-07,"0","GAS2L1"
1.2444321390539e-11,0.54282724321662,0.32,0.294,4.0266090723367e-07,"0","ANKRD9"
8.67978324642339e-11,0.781270381796734,0.31,0.297,2.80851746504522e-06,"0","RABGAP1L"
2.01879271419966e-10,0.33196298803302,0.241,0.362,6.53220758533584e-06,"0","AP1S2"
4.38589907506452e-10,0.93268666127705,0.297,0.289,1.41914536371863e-05,"0","ADI1"
5.23148726763265e-10,0.618838750173574,0.193,0.294,1.69275233518789e-05,"0","PGK1"
1.18731075562626e-09,0.544215391794162,0.197,0.297,3.84178141197989e-05,"0","BCAP31"
1.4635191022882e-09,0.392209932900918,0.459,0.5,4.73550875927394e-05,"0","PLEKHO1"
1.64545682710397e-09,0.770719418000587,0.325,0.325,5.32420465546033e-05,"0","MGLL"
1.69245623486276e-09,0.351824622049207,0.271,0.41,5.47628063914544e-05,"0","RTN3"
1.71534469788233e-09,0.554825619550401,0.291,0.27,5.55034083893786e-05,"0","PDE5A"
2.21708565693295e-09,0.491633442410067,0.454,0.515,7.17382406013794e-05,"0","NORAD"
2.43580073796743e-09,0.499884686006433,0.185,0.278,7.88152044784121e-05,"0","HMG20B"
3.14669811435299e-09,0.365096392998996,0.195,0.289,0.00010181771088612,"0","CERS2"
3.1713724190661e-09,0.615055670796651,0.428,0.497,0.000102616097363722,"0","NDUFA4"
4.07837876097235e-09,0.534799499448525,0.449,0.514,0.000131964101568782,"0","CAPZA2"
1.07708688858846e-08,0.487593461911528,0.233,0.355,0.000348513004540567,"0","ENO1"
1.74441810388764e-08,0.472147398107904,0.196,0.29,0.000564441365874925,"0","G3BP2"
3.12630711055148e-08,0.334564253096715,0.287,0.433,0.00101157919176114,"0","CD63"
3.31912536792542e-08,0.760149935977151,0.267,0.253,0.00107396939529963,"0","CCDC92"
3.5435762058667e-08,0.781623406562882,0.299,0.296,0.00114659495293229,"0","NT5M"
5.13004396764071e-08,0.839632454997597,0.274,0.266,0.0016599283266095,"0","APP"
5.34238059984414e-08,0.517181200956055,0.184,0.269,0.00172863409069157,"0","SKAP2"
6.63809592656204e-08,0.930992996881114,0.305,0.312,0.00214788869895768,"0","SNRPN"
7.32311921470484e-08,0.478643632077944,0.313,0.304,0.00236954168430204,"0","ARHGAP6"
1.19577927257474e-07,0.376318634573517,0.352,0.341,0.00386918299227008,"0","PDZK1IP1"
1.47235831079919e-07,0.386375543011773,0.411,0.435,0.00476410978625295,"0","PTPN18"
1.59756277428036e-07,0.640835339074892,0.201,0.294,0.00516923386873895,"0","CDC37"
2.30205926319025e-07,0.57719353126189,0.414,0.476,0.00744877315790468,"0","VDAC3"
3.25558611652449e-07,0.703467157110072,0.366,0.403,0.0105340999972383,"0","USF2"
9.07754098098164e-07,0.351930665583995,0.251,0.358,0.0293721993521623,"0","NUTF2"
1.14076556938658e-06,0.523827000607654,0.376,0.405,0.0369117515286415,"0","STXBP2"
1.44737014219485e-06,0.320506074300031,0.396,0.412,0.0468325556909989,"0","RAB27B"
2.68080466183497e-06,0.262109840480008,0.191,0.266,0.0867427964429942,"0","TMBIM1"
2.86225059760992e-06,0.663006578802095,0.385,0.437,0.0926138425868642,"0","CMPK1"
2.87902037464583e-06,0.481102293254877,0.422,0.484,0.0931564622624152,"0","BIN2"
2.99173332232639e-06,0.31751185276619,0.297,0.426,0.0968035151105149,"0","MOB1A"
3.41827957887865e-06,0.527576237201568,0.438,0.528,0.110605272333776,"0","RAC1"
3.80704282531371e-06,0.847006182795914,0.335,0.368,0.123184484698676,"0","TAF10"
6.28440573592106e-06,0.576977192360106,0.216,0.308,0.203344516397198,"0","SLC39A3"
7.25842538670239e-06,0.261867089304482,0.342,0.5,0.234860870237529,"0","MYL12B"
9.80736150283229e-06,0.552838988122277,0.263,0.255,0.317336796147144,"0","FAXDC2"
1.22750248665569e-05,0.727073182820716,0.262,0.261,0.397182979607181,"0","NPTN"
1.4711133467991e-05,0.448645351890264,0.437,0.508,0.476008145623786,"0","TSC22D3"
2.17032011892104e-05,0.285171743991851,0.501,0.571,0.702250480879282,"0","NT5C3A"
4.21652711229692e-05,0.297297109336244,0.288,0.401,1,"0","YPEL5"
7.58994688465803e-05,0.359625503923564,0.28,0.392,1,"0","CMTM6"
8.40453591919834e-05,0.33809132164134,0.308,0.431,1,"0","ASAH1"
